badagarang,eastern grey kangaroo,noun
badangi,Sydney rock oyster,noun
barani,yesterday,noun
bara,fish hook,noun
baruwaluwu,dolphin,noun
binyang,bird,noun
bubuk,boobook owl,noun
bulga,hill (or green),noun
bunda,hawk,noun
burra,eel,noun
buruwang gaba,island,noun
daringyan,stingray,noun
dingu,dingo,noun
duwal,"spear (short, with two barbs)",noun
dyiral,shoal water,noun
gadyan,Sydney cockle,noun
gamai,spear (general name),noun
ganing,cave,noun
garradjun,fishing line made from bark,noun
garrigarrang,sea,noun
gawura,whale,noun
girra girra,seagull,noun
gunya,dwelling made by people,noun
guru,deep water,noun
marrang,sand or beach,noun
ngurra,camp,noun
nawi,canoe,noun
wulumay,snapper,noun
walumil,Port Jackson shark,noun
waragal,mackerel,noun
wirambi,bat,noun
wulaba,rock wallaby,noun
wumbat,wombat,noun
yara,crab,noun
Ar-ra-re-agon,Snapper Island,place
Bayinguwa or ba-ing-hoe,Garden Island,place
Be-lang-le-wool,Clarke Island,place
Coodyee,Millers Point,place
Cookaroo or Cockaroo,Royal Botanic Gardens,place
Gong-ul,Spectacle Island,place
Goudjoulgang or Pannerong,Rose Bay,place
Kiarabily or Ciar Billie,Kirribilli,place
Kogerrah or Kogarah,Rushcutters Bay,place
Memel,Goat Island,place
Pirrama,Pyrmont,place
Talla-wo-la-dah,The Rocks,place
Waalamool or Walla-mool,Woolloomooloo Bay,place
Warinyama or Wa-rea-mah,Cockatoo Island,place
Willara,Woollahra Point,place
Yaranabe or Eurambie,Darling Point,place
