id,english,language,pronunciation,description,category,type,image
1,abandon one's self to despair,wanhangidyilinya,,,,Adjective,
2,ee,"burrbiny, binbin, nguruwi",,,Body,Noun,
3,"Admiration, surprise",aa,,,,interj,
4,A place on the Herbert River,Abirrbil,,,location,Noun,
5,Cuscus,Ambuya,,,food,Noun,
6,"‘Yes’, ‘Well’",Ayi,,,,interj,
7,Whip ,Baan,,,tool,Noun,
8,"Stab, Dig, sew, Wash, Comb",Baba,,,action,Transitive Verb,
9,Stinger  A person who is good with a spear,Babalmunga,,,,Noun,
10,“Stab with”,Babari,,,action,transitive Verb,
11,“Stab each other”/”Stab one another’,Babawa,,,action,intransitive Verb,
12,Nick/ Make a small wound,Babi,,,,transitive Verb,
13,Daughter’s Daughter/Mother’s Mother,Babi ,,,family,kinship noun,
14,Daughter’s Daughter/Mother’s Mother,Babina ,,,family,kinship noun,
15,"""All my Babi""",Babiguway,,,family,Noun,
16,"A woman’s name, A character in myth",Babinu,,,dreaming,Noun,
17,As Babi and Babina,Babinyjarr,,,family,Noun,
18,At or to a place down a stream,Bada,,,location,adverb,
19,place near abergowrie,Badala,,,location,Noun,
20,downstream,baangal,,,,adverb,
21,(class unknown)  (another dialect?) cry,badi,,,action,intransitive Verb,
22,"dig, poke, wash, prick, stick in",baga,,,action,transitive Verb,
23,"hole, tunnel",bagala,,,country ,Noun,
24,"punch a hole through.., make a big hole in..",bagalanga,,,action,transitive Verb,
25,stuck,bagan,,,country ,adjective,
26,cave,bagarri,,,country ,Noun,
27,"(1) horizontal fire stick, (2) place in wairuna area",bagu,,,"country, tool",Noun,
28,"(1) big fighting stick, (2) sword creek, ",bagur,,,,Noun,
29,short,bagurr,,,,adjective,
30,"place name, a place between chashmere and gunnawarra?",baggurr,,,,Noun,
31,"(1) Tree used for jiman, (2) firestick used horizontally (3) type of bird that inhabits tully",baguyan,,,,Noun,
32,"bite, chew; say (object gugu 'speech'",baja,,,,transitive Verb,
33,finish up,bajabajanga,,,,transitive Verb,
34,be/ become blocked up,bajabi,,,,intransitive Verb,
35,bite again and again,bajaga,,,,transitive Verb,
36,"brave, tough or bold person",bajalbarri,,,,Noun,
37,be/become bajalbarri,bajalbarribi,,,,intransitive Verb,
38,"make bajalbarri, confuse ",bajalbarringa,,,,transitive Verb,
39,"biter, one who is inclinded tobite",bajalmunga,,,,Noun,
40,"bite everything, bite about",bajanda,,,,transitive Verb,
41,"finish, stuff up",bajanga,,,,transitive Verb,
42,bite with,bajari,,,,transitive Verb,
43,(reciprocal) bite eachother/one another,bajawa,,,,intransitive Verb,
44,a type of bird,bajinjila,,,,Noun,
45,kirrama station,badjubala,,,,Noun,
46,(not warrungu) reef,bajulu,,,,Noun,
47,I don't know', =bajun,,,,cli,
48,go past,bajunda,,,,intransitive Verb,
49,place on herbert river where there is a big hole in the river,balabala,,,,Noun,
50,moon,balan,,,,Noun,moon.jpg
51,dugong,balanggal,,,,Noun,dugong.jpg
52,"moon, moonlight, month, (2) waterfall creek (not far from Mt. fox range",balanu,,,,Noun,
53,"month after month, many months (used in the LOC: balanuguman.guman-da)",balanuguman.guman,,,,Noun,
54,"full (of basket, not of belly)",balara,,,,adjective,
55,"hole, tunnel",balara,,,,Noun,
56,roll,balba,,,,transitive Verb,
57,bundle of spears ,Balbabara,,,,Noun,
