,,,,,,,,
e,Translation,Pronunciation,Description,Category,Word type,Image,Audio,Widget
abandon one's self to despair,wanhangidyilinya,,,,Adjective,the-image.jpg,123.mp3,YES
ee,"burrbiny, binbin, nguruwi",,,Body,Noun,,124.mp3,NO
,,,,,,,,
"Admiration, surprise",aa,,,,interj,,,
A place on the Herbert River,Abirrbil,,,location,Noun,,,
Cuscus,Ambuya,,,food,Noun,,,
"‘Yes’, ‘Well’",Ayi,,,,interj,,,
,,,,,,,,
Whip ,Baan,,,tool,Noun,,,
"Stab, Dig, sew, Wash, Comb",Baba,,,action,Transitive Verb,,,
Stinger  A person who is good with a spear,Babalmunga,,,,Noun,,,
“Stab with”,Babari,,,action,transitive Verb,,,
“Stab each other”/”Stab one another’,Babawa,,,action,intransitive Verb,,,
Nick/ Make a small wound,Babi,,,,transitive Verb,,,
Daughter’s Daughter/Mother’s Mother,Babi ,,,family,kinship noun,,,
Daughter’s Daughter/Mother’s Mother,Babina ,,,family,kinship noun,,,
"""All my Babi""",Babiguway,,,family,Noun,,,
"A woman’s name, A character in myth",Babinu,,,dreaming,Noun,,,
As Babi and Babina,Babinyjarr,,,family,Noun,,,
At or to a place down a stream,Bada,,,location,adverb,,,
place near abergowrie,Badala,,,location,Noun,,,
downstream,baangal,,,,adverb,,,
(class unknown)  (another dialect?) cry,badi,,,action,intransitive Verb,,,
"dig, poke, wash, prick, stick in",baga,,,action,transitive Verb,,,
"hole, tunnel",bagala,,,country ,Noun,,,
"punch a hole through.., make a big hole in..",bagalanga,,,action,transitive Verb,,,
stuck,bagan,,,country ,adjective,,,
cave,bagarri,,,country ,Noun,,,
"(1) horizontal fire stick, (2) place in wairuna area",bagu,,,"country, tool",Noun,,,
"(1) big fighting stick, (2) sword creek, ",bagur,,,,Noun,,,
short,bagurr,,,,adjective,,,
"place name, a place between chashmere and gunnawarra?",baggurr,,,,Noun,,,
"(1) Tree used for jiman, (2) firestick used horizontally (3) type of bird that inhabits tully",baguyan,,,,Noun,,,
"bite, chew; say (object gugu 'speech'",baja,,,,transitive Verb,,,
finish up,bajabajanga,,,,transitive Verb,,,
be/ become blocked up,bajabi,,,,intransitive Verb,,,
bite again and again,bajaga,,,,transitive Verb,,,
"brave, tough or bold person",bajalbarri,,,,Noun,,,
be/become bajalbarri,bajalbarribi,,,,intransitive Verb,,,
"make bajalbarri, confuse ",bajalbarringa,,,,transitive Verb,,,
"biter, one who is inclinded tobite",bajalmunga,,,,Noun,,,
"bite everything, bite about",bajanda,,,,transitive Verb,,,
"finish, stuff up",bajanga,,,,transitive Verb,,,
bite with,bajari,,,,transitive Verb,,,
(reciprocal) bite eachother/one another,bajawa,,,,intransitive Verb,,,
a type of bird,bajinjila,,,,Noun,,,
kirrama station,badjubala,,,,Noun,,,
(not warrungu) reef,bajulu,,,,Noun,,,
I don't know', =bajun,,,,cli,,,
go past,bajunda,,,,intransitive Verb,,,
place on herbert river where there is a big hole in the river,balabala,,,,Noun,,,
moon,balan,,,,Noun,,,
dugong,balanggal,,,,Noun,,,
"moon, moonlight, month, (2) waterfall creek (not far from Mt. fox range",balanu,,,,Noun,,,
"month after month, many months (used in the LOC: balanuguman.guman-da)",balanuguman.guman,,,,Noun,,,
"full (of basket, not of belly)",balara,,,,adjective,,,
"hole, tunnel",balara,,,,Noun,,,
roll,balba,,,,transitive Verb,,,
bundle of spears ,Balbabara,,,,Noun,,,
beating the rythm (ngaya balbal mara jingga-n) i beat rhythm hand punch 'i am beating my hands to the rhythm',BalBal,,,,adverb,,,
(refelxive) roll oneself,BalBali,,,,intransitive Verb,,,
"bone, lump, fruit seed, wart",Balban,,,,Noun,,,
shark (eats humans),Balbirrigan,,,,Noun,,,
"hit, strike (with long object, cf. jingga), kill; call [someone]...",Balga,,,,transitive Verb,,,
"cousin, ? brother-in-law in the ingham language",Balgala,,,,Noun,,,
"bark camp (little), house",Balgan,,,,Noun,,,
full. cf. gajabalgara,Balgara,,,,adjective,,,
flat rock,Balgara,,,,Noun,,,
"(classunknown, 1?) hit (with plural agents)",Balgara,,,,transitive Verb,,,
make flat or smooth,Balgaranga,,,,transitive Verb,,,
(instrumental verb) hit with,Balgari,,,,transitive Verb,,,
(reciprocal) hit eachother/ one another,Balgawa,,,,intransitive Verb,,,
"stone, money",Balgi,,,,Noun,,,
"(not warrungu) stone axe, (stone) tomahawk",Balgu,,,,Noun,,,
(jalnguy?) grass hat,BalguBalgu,,,,Noun,,,
"(jalnguy ?, song word) sleep (barguli ?)",Balguli    (end of page 4),,,,intransitive Verb,,,
"naked, without a weapon",Balgurru (page 5),,,,adjective,,,
(LOC:baligilay-ja) valley of lagoons ,Baligilay,,,,Noun.I,,,
(song word ?) corpse from which flesh has been cut off and in which only bones are left,BaljaBalja,,,,Noun,,,
empty,Balji,,,,adjective,,,
wifes brother(brother-in-law),Baljin,,,,Noun,,,
(jalnguy ?) smell,Balmbi,,,,transitive Verb,,,
(instumental) smell with,Balmbiri,,,,transitive Verb,,,
"round object, ball, parcel, bundle",Balmbu,,,,Noun,,,
make a ball,Balmbunga,,,,transitive Verb,,,
stoney hill (on stone river ?),Balnggara,,,,Noun,,,
"(of jiru language, in clump point area) dugong",Balnggay,,,,Noun,,,
"(jalnguy) come out (=banda), splash",Balnyjal,,,,transitive Verb,,,
"""let... alone, leave.. alone (to do..) (non- interference""",Balu,,,,adverb,,,
as balu,Balu=guli,,,,adverb,,,
"(aboriginal) man, male (e.g. he-cat)",Bama,,,,Noun,,,
"be like a man/human, come to life",Bamabi,,,,intransitive Verb,,,
"belly, guts, eggs",Bamba,,,,Noun,,,
handle on a tomahawk,Bambal,,,,Noun,,,
white,Bambara,,,,adjective,,,
make white,bambaranga,,,,transitive Verb,,,
possum (name of a skin group ?),bambari,,,,Noun,,,
"egg, coconut",bambu,,,,Noun,,,
"shoot, hit with a boomerang, etc.",bambu,,,,transitive Verb,,,
(instumental berb) shoot with,bamburi,,,,transitive Verb,,,
(reciprocal) shoot eachother/one another,bambuwa,,,,intransitive Verb,,,
"little girl, young femle horse, she-cat, she-goat",ban.gal,,,,Noun,,,
"break, make crack",bana,,,,transitive Verb,,,
type of big black fig (as big as a tennis ball),banba,,,,Noun,,,
"shake (with fear, anger, cold), be frightened",banbarri,,,,intransitive Verb,,,
show the way by breacking branches (or twigs) of the  tress standing by,banbi,,,,transitive Verb,,,
"come out, go in (i.e. move through some passage ?), crack (ofchaps), chap",banda,,,,intransitive Verb,,,
boney brimv(lives in fresh water and jumps),bandala,,,,Noun,,,
"come out, crack, burst, explode",bandali,,,,intransitive Verb,,,
bottle,bandara,,,,Noun,,,
"(1) make crack, (2) come out with",bandari,,,,transitive Verb,,,
make (fingers) crack,bandaynga,,,,transitive Verb,,,
paint,bangga,,,,transitive Verb,,,
bullock swamp (on Herbert River near Kirrama Station),banggaliny,,,,Noun,,,
stoney hill (on stone river),banggara,,,,Noun,,,
"(1), blue tounge lizard, (2) place (near Cashmere and Tiger mountain?)",banggarra,,,,Noun,,,
(Reciprocal) paint eachother/one another,banggawa,,,,intransitive Verb,,,
"(erg: banggany-ju, DAT: banggay-gu, banggay-ngga) spear",banggay,,,,Noun.II,,,
"hollow (in a tree, on the ground), hole",banggu,,,,Noun,,,
turtle (fresh water turtle),banggurru,,,,Noun,,,
turtle jump ( a place in wairuna area). its etymology bunggurru julba-l/ julba-n/ julba-y (a turtle jumped),banggurru-julbal,,,,Noun,,,
turtle jump ( a place in wairuna area). its etymology bunggurru julba-l/ julba-n/ julba-y (a turtle jumped),banggurru-julban,,,,Noun,,,
turtle jump ( a place in wairuna area). its etymology bunggurru julba-l/ julba-n/ julba-y (a turtle jumped),banggurru-julbay,,,,Noun.II,,,
green frog (used for medicine),bangguy,,,,Noun,,,
sweat,banirra,,,,Noun,,,
"follow (the road, footprints) (2) jalnguy vi. come out",Banja ,,,,transitive Verb,,,
grass bird ( with red tail),banjar ,,,,Noun,,,
ask (a question or for somthing),banju ,,,,transitive Verb,,,
(REC) ask eachother/ one another,banjuwa,,,,intransitive Verb,,,
"hit, bust",banyji,,,,transitive Verb,,,
(non-warrungu) brother in law,banyji,,,,Noun,,,
(non-warrungu) brother in law,banyji-juway ,,,,noun,,,
(girramay ?) quickly,baraman ,,,,adverb,,,
ice,barbay ,,,,Noun.I,,,
place (bushy country on herbert river),barbibarra ,,,,noun,,,
"bush rat (brown, lives in the bush)",bargil ,,,,noun,,,
(song word) lie down,barguli ,,,,intransitive Verb,,,
"twist, turn",bari ,,,,transitive Verb,,,
"twisty, hard to catcch (e.g language)",barilbaril ,,,,adjective,,,
"(REFL) twist oneself, turn oneself, turn around",barili ,,,,intransitive Verb,,,
twist,baringa ,,,,transitive Verb,,,
avoid meeting someone 'dodge' (used in the LOC: bariny-ja),bariny ,,,,noun,,,
sparrow hawk (= chicken  hawk),barinybariny ,,,,noun,,,
kangaroo rat,barngala ,,,,noun,,,
kangaroo rat,barngan,,,,noun,,,
bark billy can,barrawu ,,,,noun,,,
make [something into] a barrawu,barrawunga ,,,,transitive Verb,,,
in the morning,barraymbarray,,,,adverb,,,
porcupine,barrbira ,,,,noun,,,
swamp wallaby,barrgan,,,,noun,,,
womans name (one of alf palmers daughters: glen),barrgilba ,,,,noun,,,
"(stone) axe , rock",barri,,,,noun,,,
"place (on hertbert river, in cashmere area ?)",barribarri ,,,,noun,,,
"lava, valley of lagoons or people of the area, warrungu people",barribiri ,,,,noun,,,
fence (from the english word paddock ?),barrigin,,,,noun,,,
younger sister,barrina ,,,,kinship noun,,,
"lava, lava country, people of the area, i.e. warrungu,  (gujal) and gugu-badhun people",barriwubu ,,,,noun,,,
light (not dark),barrnga,,,,adjective,,,
"bent, crooked, winding (road, etc.)",barrubarru ,,,,adjective,,,
bend,barrubarrubi ,,,,intransitive Verb,,,
bend,barrubarrunga,,,,transitive Verb,,,
bend,barrunga,,,,transitive Verb,,,
lower part of the back Cf. mambu,baru ,,,,noun,,,
name of a waterfall and gorge in niagara (?) distric,bawir ,,,,noun,,,
(other dialect/language ? ) shoot,Bawu,,,,transitive Verb,,,
rock wallaby (small),bawur ,,,,noun,,,
it is [someone] turn to do,baya ,,,,adverb,,,
sing,baya ,,,,transitive Verb,,,
"in return, in turn,.. back ""same to you""",bayabaya,,,,adverb,,,
native bee (=wuriba),bayal ,,,,noun,,,
place on herbert river ?),bayamarra,,,,noun,,,
"(instrumental verb) sing with..., sing to...",bayari ,,,,transitive Verb,,,
(RECP) sing?,bayawa ,,,,"intransitive Verb, transitive",,,
"fig tree pine, fig tree, fig",baygari ,,,,noun ,,,
bash,baygu ,,,,transitive Verb,,,
"bash, kill ",baygunga ,,,,transitive Verb,,,
(RECP) wrestle,bayguwa ,,,,intransitive,,,
"bind up, twist (fingers), stir up",bayi ,,,,transitive Verb,,,
cunning,bayilbayil ,,,,adjective,,,
"(REFL) turn, turn oneself",bayili,,,,intransitive,,,
(RECP) argue (with the object of gugu,bayiwa ,,,,intransitive,,,
"(1) sweat, (2) sweating, hot",baynggirra ,,,,"noun, adjective",,,
"wave (tail, of fish)",bayumbi ,,,,transitive Verb,,,
"(ACC: bayumbirri-nya) man's name, character in the myth of innot springs (from vt bayumbi)",bayumbirri,,,,noun,,,
,,,,,,,,
,BI,,,,,,,
female frivate part (clitoris),bibi ,,,,noun,,,
poke [a woman],bibibaba ,,,,transitive,,,
"(REFL) masturbate, poke oneself",bibibabali,,,,intransitive,,,
place (on herbert river),bidaman,,,,noun,,,
"fork stick, divided stick",biga ,,,,noun,,,
(1) death adder (snake) (2) henrietta creek (near abergowrie),bigal ,,,,noun,,,
eagle hawk (?) twin (?),bigany ,,,,noun,,,
"fish hawk (=grey, salt water eagle hawk)",bigaranggal,,,,noun,,,
pig (from english word pig),bigibigi,,,,noun,,,
shield (big),bigin,,,,noun,,,
nail,biguny,,,,noun,,,
(erg: biguny-ju) (?) nail,biguy ,,,,N.II,,,
"drink, swallow, suck",bija ,,,,transitive,,,
(not warrungu ?) bark of tree,bijal,,,,noun,,,
swell up,bijari ,,,,intransitive,,,
"drink from, drink with ",bijari,,,,transitive,,,
wide (often bijirr),bijil,,,,adjective,,,
(warrungu ?) piturri (weed for medicine),bijiri,,,,noun,,,
"make wide/ wider, open, split",bijilnga,,,,transitive,,,
(whole) female private parts,bila,,,,transitive,,,
(ERG: bilanggirr-u ) blanket (from the english word blanket),bilnggirr,,,,noun,,,
front part of spear,bilarru ,,,,noun,,,
peewee (bird),Bilbil ,,,,noun,,,
"knife for fighting (both sides sharp), handle (of knife ?)",bilguru ,,,,noun,,,
"dawn, daylight in the early morning",biliji ,,,,noun,,,
"pushover, blow down, spill ",bilmba,,,,transitive,,,
"(1) widow, widower, (2) hip (only sides) ?",bilbu ,,,,noun,,,
"crimson rosella , king parrot (=red-capped parrot)",bilnbiran ,,,,noun,,,
hip,bilu ,,,,noun,,,
"hook (of a spear), claw (of eaglehawk, etc.)",bilun ,,,,noun,,,
"aunt, mother-in-law, father's sister",bimu,,,,kinship noun,,,
"aunt, mother-in-law, father's sister",bimuna,,,,kinship noun,,,
as bimu,bimubara,,,,noun,,,
mother-in-law,bimugan,,,,noun,,,
(jalnguy ?) (ERG: bimuwarrany-ju) aunt,bimurray,,,,n.II,,,
ERG: bimurrany-ju) aunt,bimuwarray,,,,n.II,,,
scratch (= giba),binba ,,,,transitive,,,
"jumping frog (with a long nose, jumps for 5 metre, lives in the bank of a river)",binbany ,,,,noun,,,
shoulder,Binda,,,,noun,,,
"1) stand up, (2) stand up, employ release (faece, urine, fart), plant (seeds), give (name), grow (potatoes, etc.), cross (legs)",binda,,,,"intransitive, transitive",,,
(instrumental verb) put [something] in [something] ,bindari ,,,,transitive,,,
"(RECP) leave one/each other, go separetly ",Bindawa ,,,,intransitive,,,
"let go, release [person, fart]",bindnga ,,,,transitive,,,
womans name (one of alf palmer's granddaughters) (rachel ?),binggany ,,,,noun,,,
flat (e.g. damper),binggaral,,,,adjective,,,
place of herbert river near ravenshoe,binggil,,,,noun,,,
